City,Code,Date,Time,Prayer,AzanType
Ras Al Khaimah,RAK,2025-04-21,06:57 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-21,08:15 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-22,04:42 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-22,12:30 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-22,03:57 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-22,06:57 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-22,08:15 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-23,04:41 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-23,12:30 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-23,03:57 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-23,06:58 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-23,08:16 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-24,04:40 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-24,12:30 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-24,03:56 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-24,06:58 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-24,08:17 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-25,04:39 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-25,12:30 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-25,03:56 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-25,06:59 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-25,08:17 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-26,04:38 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-26,12:30 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-26,03:56 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-26,06:59 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-26,08:18 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-27,04:37 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-27,12:29 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-27,03:56 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-27,07:00 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-27,08:19 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-28,04:36 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-28,12:29 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-28,03:55 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-28,07:00 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-28,08:19 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-29,04:35 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-29,12:29 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-29,03:55 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-29,07:01 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-29,08:20 PM,Isha,Regular
Ras Al Khaimah,RAK,2025-04-30,04:34 AM,Fajr,Fajr
Ras Al Khaimah,RAK,2025-04-30,12:29 PM,Duhur,Regular
Ras Al Khaimah,RAK,2025-04-30,03:55 PM,Asr,Regular
Ras Al Khaimah,RAK,2025-04-30,07:01 PM,Maghrib,Regular
Ras Al Khaimah,RAK,2025-04-30,08:21 PM,Isha,Regular

